original_name,original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
CHOLY FILIPINO RESTAURANT,"90 WEST HOUSTON STREET, Manhattan, NY 10012",40.727234800000005,-73.99994211581438,"90 West Houston Street, New York, NY 10012, United States of America",,90,West Houston Street,10012,Manhattan,,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GRILL 21,"346 EAST 21 STREET, Manhattan, NY 10010",40.735654,-73.979851,"346 East 21st Street, New York, NY 10010, United States of America",,346,East 21st Street,10010,Manhattan,Gramercy,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
GUGU ROOM,"143 ORCHARD STREET, Manhattan, NY 10002",40.7201106,-73.9893239,"143 Orchard Street, New York, NY 10002, United States of America",,143,Orchard Street,10002,Manhattan,,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KALYE,"251 BROOME STREET, Manhattan, NY 10002",40.717918,-73.9899401,"Kalye, 251 Broome Street, New York, NY 10002, United States of America",Kalye,251,Broome Street,10002,Manhattan,,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
MAMA FINA'S,"167 AVENUE A, Manhattan, NY 10009",40.7282766,-73.98223071051586,"167 Avenue A, New York, NY 10009, United States of America",,167,Avenue A,10009,Manhattan,,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NAKS,"201 1 AVENUE, Manhattan, NY 10003",40.73032895,-73.98365426539043,"201 1st Avenue, New York, NY 10003, United States of America",,201,1st Avenue,10003,Manhattan,,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PATOK BY RACH,"5057 BROADWAY, Manhattan, NY 10034",40.87039005,-73.9156408401128,"5057 Broadway, New York, NY 10034, United States of America",,5057,Broadway,10034,Manhattan,,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TRADICIONALE,"156 9 AVENUE, Manhattan, NY 10011",40.744282,-74.002716,"156 9th Avenue, New York, NY 10011, United States of America",,156,9th Avenue,10011,Manhattan,Chelsea,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
TRADISYON NYC,"790 9 AVENUE, Manhattan, NY 10019",40.764951,-73.987657,"790 9th Avenue, New York, NY 10019, United States of America",,790,9th Avenue,10019,Manhattan,Midtown West,New York,New York County,New York,NY,United States,us,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
FOB RESTAURANT,"271 SMITH STREET, Brooklyn, NY 11231",40.68259515,-73.99303923101722,"271 Smith Street, New York, NY 11231, United States of America",,271,Smith Street,11231,Brooklyn,,New York,Kings County,New York,NY,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
JOLLIBEE,"5212 KINGS HIGHWAY, Brooklyn, NY 11234",40.639378,-73.9258528,"5212 Kings Highway, New York, NY 11234, United States of America",Kings Highway,5212,Kings Highway,11234,Brooklyn,Flatlands,New York,Kings County,New York,NY,United States,us,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
